Nome,Função,COREN-SP,Turno,Horário,Plantão,Setor,Setores Preferidos,Mês,Dia 1,Dia 3,Dia 5,Dia 7,Dia 9,Dia 11,Dia 13,Dia 15,Dia 17,Dia 19,Dia 21,Dia 23,Dia 25,Dia 27,Dia 29,Dia 31
Marcelo Cunha,Supervisor Técnico,100105.0,Diurno,07:30x16:30,A,Classificação de risco,"Classificação de risco, Sala de emergência, Sala de medicação, Sala de sutura e CME, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Diana Armando,Responsável Técnico,100100.0,Diurno,07x19,A,Classificação de risco,Sala de emergência,Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Renato Amaral,Enfermeiro,600004.0,Diurno,07x19,A,Classificação de risco,"Sala de sutura e CME, Classificação de risco, Sala de medicação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Oscar Fernández,Enfermeiro,800008.0,Diurno,07x19,A,Classificação de risco,"Sala de emergência, Classificação de risco",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Maurício Faria,Auxiliar de enfermagem,600021.0,Diurno,07x19,A,Classificação de risco,"Classificação de risco, Sala de medicação, Sala de emergência",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Alexandre Lopes,Técnico de enfermagem,3129464.0,Diurno,07x19,A,Classificação de risco,"Classificação de risco, Sala de emergência, Sala de medicação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Akira Tanaka,Enfermeiro,800001.0,Diurno,07x19,A,Classificação de risco,"Classificação de risco, Sala de medicação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Anastasia Volkova,Enfermeiro,700005.0,Diurno,07x19,A,Classificação de risco,Classificação de risco,Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Mateus Vieira,Enfermeiro,567678.0,Diurno,07x19,A,Classificação de risco,"Classificação de risco, Repouso/observação, Sala de medicação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Luciano Pires,Enfermeiro,600010.0,Diurno,07x19,A,Classificação de risco,"Classificação de risco, Repouso/observação, Sala de emergência",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
