Nome,Função,COREN-SP,Turno,Horário,Plantão,Setor,Setores Preferidos,Mês,Dia 1,Dia 3,Dia 5,Dia 7,Dia 9,Dia 11,Dia 13,Dia 15,Dia 17,Dia 19,Dia 21,Dia 23,Dia 25,Dia 27,Dia 29,Dia 31
Marcelo Cunha,Supervisor Técnico,100105.0,Diurno,07:30x16:30,A,Repouso/observação,"Classificação de risco, Sala de emergência, Sala de medicação, Sala de sutura e CME, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Diana Armando,Responsável Técnico,100100.0,Diurno,07x19,A,Repouso/observação,Sala de emergência,Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Mateo González,Enfermeiro,800012.0,Diurno,07x19,A,Repouso/observação,"Sala de medicação, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Nina Petrova,Técnico de enfermagem,700020.0,Diurno,07x19,A,Repouso/observação,"Sala de sutura e CME, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Paula Silva,Técnico de enfermagem,998844.0,Diurno,07x19,A,Repouso/observação,"Repouso/observação, Sala de sutura e CME, Classificação de risco",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Simone Teixeira,Técnico de enfermagem,600026.0,Diurno,07x19,A,Repouso/observação,"Sala de sutura e CME, Sala de emergência, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Juliane Alves,Técnico de enfermagem,600022.0,Diurno,07x19,A,Repouso/observação,"Repouso/observação, Sala de sutura e CME, Sala de emergência",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Isabella Conti,Auxiliar de enfermagem,800017.0,Diurno,07x19,A,Repouso/observação,"Repouso/observação, Sala de medicação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Márcio Teles,Enfermeiro,600029.0,Diurno,07x19,A,Repouso/observação,"Repouso/observação, Sala de emergência, Sala de sutura e CME",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Sérgio Antunes,Enfermeiro,600006.0,Diurno,07x19,A,Repouso/observação,"Repouso/observação, Sala de emergência, Sala de sutura e CME",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Noah Müller,Técnico de enfermagem,700010.0,Diurno,07x19,A,Repouso/observação,"Repouso/observação, Sala de emergência",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Luciana Tavares,Técnico de enfermagem,586123.0,Diurno,07x19,A,Repouso/observação,"Repouso/observação, Sala de medicação, Sala de emergência",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Vanessa Costa,Técnico de enfermagem,580567.0,Diurno,07x19,A,Repouso/observação,"Repouso/observação, Classificação de risco, Sala de emergência",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
