Nome,Função,COREN-SP,Turno,Horário,Plantão,Setor,Setores Preferidos,Mês,Dia 2,Dia 4,Dia 6,Dia 8,Dia 10,Dia 12,Dia 14,Dia 16,Dia 18,Dia 20,Dia 22,Dia 24,Dia 26,Dia 28,Dia 30
Marcelo Cunha,Supervisor Técnico,100105.0,Diurno,07:30x16:30,A,Repouso/observação,"Classificação de risco, Sala de emergência, Sala de medicação, Sala de sutura e CME, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Diana Batista,Responsável Técnico,100102.0,Diurno,07x19,B,Repouso/observação,Repouso/observação,Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Carlos Gómez,Enfermeiro,700008.0,Diurno,07x19,B,Repouso/observação,"Sala de medicação, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Amanda Farias,Técnico de enfermagem,575432.0,Diurno,07x19,B,Repouso/observação,"Sala de emergência, Classificação de risco, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Daniel Ramos,Técnico de enfermagem,589234.0,Diurno,07x19,B,Repouso/observação,"Sala de sutura e CME, Repouso/observação, Sala de emergência",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Caroline Castro,Auxiliar de enfermagem,600028.0,Diurno,07x19,B,Repouso/observação,"Repouso/observação, Sala de medicação, Sala de emergência",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Luca Bianchi,Auxiliar de enfermagem,800003.0,Diurno,07x19,B,Repouso/observação,"Sala de medicação, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Lina Müller,Auxiliar de enfermagem,800011.0,Diurno,07x19,B,Repouso/observação,"Repouso/observação, Sala de medicação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Fernanda Lima,Auxiliar de enfermagem,600011.0,Diurno,07x19,B,Repouso/observação,"Repouso/observação, Sala de medicação, Sala de sutura e CME",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Pedro Alvarez,Técnico de enfermagem,700015.0,Diurno,07x19,B,Repouso/observação,"Repouso/observação, Sala de emergência",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
