Nome,Função,COREN-SP,Turno,Horário,Plantão,Setor,Setores Preferidos,Mês,Dia 2,Dia 4,Dia 6,Dia 8,Dia 10,Dia 12,Dia 14,Dia 16,Dia 18,Dia 20,Dia 22,Dia 24,Dia 26,Dia 28,Dia 30
Marcelo Cunha,Supervisor Técnico,100105.0,Diurno,07:30x16:30,A,Repouso/observação,"Classificação de risco, Sala de emergência, Sala de medicação, Sala de sutura e CME, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Nelson Batista,Responsável Técnico,100103.0,Noturno,19x07,B,Repouso/observação,Sala de sutura e CME,Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sara Kim,Enfermeiro,800019.0,Noturno,19x07,B,Repouso/observação,"Sala de medicação, Repouso/observação",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gustavo Lopes,Técnico de enfermagem,582456.0,Noturno,19x07,B,Repouso/observação,"Sala de sutura e CME, Classificação de risco, Repouso/observação",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gabriel Santos,Técnico de enfermagem,123456.0,Noturno,19x07,B,Repouso/observação,"Sala de sutura e CME, Sala de emergência, Repouso/observação",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Henrique Nascimento,Técnico de enfermagem,589456.0,Noturno,19x07,B,Repouso/observação,"Repouso/observação, Classificação de risco, Sala de emergência",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Danilo Rocha,Técnico de enfermagem,600025.0,Noturno,19x07,B,Repouso/observação,"Repouso/observação, Classificação de risco, Sala de sutura e CME",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Rafael Mello,Técnico de enfermagem,581678.0,Noturno,19x07,B,Repouso/observação,"Repouso/observação, Sala de medicação, Sala de sutura e CME",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Amir El-Sayed,Técnico de enfermagem,800004.0,Noturno,19x07,B,Repouso/observação,"Repouso/observação, Sala de sutura e CME",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Miguel Ángel,Enfermeiro,700002.0,Noturno,19x07,B,Repouso/observação,"Repouso/observação, Sala de emergência",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
