Nome,Função,COREN-SP,Turno,Horário,Plantão,Setor,Setores Preferidos,Mês,Dia 1,Dia 3,Dia 5,Dia 7,Dia 9,Dia 11,Dia 13,Dia 15,Dia 17,Dia 19,Dia 21,Dia 23,Dia 25,Dia 27,Dia 29
Marcelo Cunha,Supervisor Técnico,100105.0,Diurno,07:30x16:30,A,Repouso/observação,"Classificação de risco, Sala de emergência, Sala de medicação, Sala de sutura e CME, Repouso/observação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Nelson Batista,Responsável Técnico,100103.0,Noturno,19x07,B,Repouso/observação,Sala de sutura e CME,Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Miguel Ángel,Enfermeiro,700002.0,Noturno,19x07,B,Repouso/observação,"Repouso/observação, Sala de emergência",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Danilo Rocha,Técnico de enfermagem,600025.0,Noturno,19x07,B,Repouso/observação,"Repouso/observação, Classificação de risco, Sala de sutura e CME",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Amir El-Sayed,Técnico de enfermagem,800004.0,Noturno,19x07,B,Repouso/observação,"Repouso/observação, Sala de sutura e CME",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gustavo Lopes,Técnico de enfermagem,582456.0,Noturno,19x07,B,Repouso/observação,"Sala de sutura e CME, Classificação de risco, Repouso/observação",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lucía Fernández,Auxiliar de enfermagem,700011.0,Noturno,19x07,B,Repouso/observação,"Repouso/observação, Sala de medicação",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tainá Ribeiro,Técnico de enfermagem,600020.0,Noturno,19x07,B,Repouso/observação,"Classificação de risco, Sala de medicação, Repouso/observação",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Patricia Oliveira,Enfermeiro,600007.0,Noturno,19x07,B,Repouso/observação,"Repouso/observação, Sala de medicação, Sala de emergência",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Elisa Andrade,Técnico de enfermagem,600014.0,Noturno,19x07,B,Repouso/observação,"Repouso/observação, Sala de emergência, Sala de medicação",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
