Nome,Função,COREN-SP,Turno,Horário,Plantão,Setor,Setores Preferidos,Mês,Dia 2,Dia 4,Dia 6,Dia 8,Dia 10,Dia 12,Dia 14,Dia 16,Dia 18,Dia 20,Dia 22,Dia 24,Dia 26,Dia 28,Dia 30
Marcelo Cunha,Supervisor Técnico,100105.0,Diurno,07:30x16:30,A,Sala de emergência,"Classificação de risco, Sala de emergência, Sala de medicação, Sala de sutura e CME, Repouso/observação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Diana Armando,Responsável Técnico,100100.0,Diurno,07x19,A,Sala de emergência,Sala de emergência,Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Márcio Teles,Enfermeiro,600029.0,Diurno,07x19,A,Sala de emergência,"Repouso/observação, Sala de emergência, Sala de sutura e CME",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Aiko Tanaka,Técnico de enfermagem,700001.0,Diurno,07x19,A,Sala de emergência,"Sala de emergência, Sala de medicação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Juliane Alves,Técnico de enfermagem,600022.0,Diurno,07x19,A,Sala de emergência,"Repouso/observação, Sala de sutura e CME, Sala de emergência",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Simone Teixeira,Técnico de enfermagem,600026.0,Diurno,07x19,A,Sala de emergência,"Sala de sutura e CME, Sala de emergência, Repouso/observação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Sophie Dubois,Auxiliar de enfermagem,700016.0,Diurno,07x19,A,Sala de emergência,"Sala de medicação, Sala de emergência",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Patrícia Duarte,Auxiliar de enfermagem,581234.0,Diurno,07x19,A,Sala de emergência,"Sala de medicação, Sala de emergência, Classificação de risco",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Oscar Fernández,Enfermeiro,800008.0,Diurno,07x19,A,Sala de emergência,"Sala de emergência, Classificação de risco",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Lucas Moura,Técnico de enfermagem,574321.0,Diurno,07x19,A,Sala de emergência,"Sala de emergência, Classificação de risco, Sala de sutura e CME",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Carmen Silva,Técnico de enfermagem,800007.0,Diurno,07x19,A,Sala de emergência,Sala de emergência,Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Rita Gomes,Enfermeiro,700001.0,Diurno,07x19,A,Sala de emergência,"Sala de emergência, Classificação de risco",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
