Nome,Função,COREN-SP,Turno,Horário,Plantão,Setor,Setores Preferidos,Mês,Dia 2,Dia 4,Dia 6,Dia 8,Dia 10,Dia 12,Dia 14,Dia 16,Dia 18,Dia 20,Dia 22,Dia 24,Dia 26,Dia 28,Dia 30
Marcelo Cunha,Supervisor Técnico,100105.0,Diurno,07:30x16:30,A,Sala de emergência,"Classificação de risco, Sala de emergência, Sala de medicação, Sala de sutura e CME, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Nelson Batista,Responsável Técnico,100103.0,Noturno,19x07,B,Sala de emergência,Sala de sutura e CME,Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Patricia Oliveira,Enfermeiro,600007.0,Noturno,19x07,B,Sala de emergência,"Repouso/observação, Sala de medicação, Sala de emergência",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Marta Lopes,Auxiliar de enfermagem,600016.0,Noturno,19x07,B,Sala de emergência,"Sala de emergência, Sala de sutura e CME, Repouso/observação",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Elisa Andrade,Técnico de enfermagem,600014.0,Noturno,19x07,B,Sala de emergência,"Repouso/observação, Sala de emergência, Sala de medicação",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Eduarda Neves,Técnico de enfermagem,600000.0,Noturno,19x07,B,Sala de emergência,"Sala de sutura e CME, Sala de emergência, Classificação de risco",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sofia Ivanova,Técnico de enfermagem,800002.0,Noturno,19x07,B,Sala de emergência,"Sala de emergência, Sala de medicação",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Noah Johansson,Técnico de enfermagem,800016.0,Noturno,19x07,B,Sala de emergência,Sala de emergência,Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Zhang Wei,Técnico de enfermagem,800010.0,Noturno,19x07,B,Sala de emergência,Sala de emergência,Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Eduardo Matos,Técnico de enfermagem,700002.0,Noturno,19x07,B,Sala de emergência,"Sala de emergência, Sala de sutura e CME",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Omar Nasri,Técnico de enfermagem,700017.0,Noturno,19x07,B,Sala de emergência,"Sala de emergência, Sala de sutura e CME",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tatiane Dias,Enfermeiro,600003.0,Noturno,19x07,B,Sala de emergência,"Sala de emergência, Sala de medicação, Repouso/observação",Julho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
