Nome,Função,COREN-SP,Turno,Horário,Plantão,Setor,Setores Preferidos,Mês,Dia 1,Dia 3,Dia 5,Dia 7,Dia 9,Dia 11,Dia 13,Dia 15,Dia 17,Dia 19,Dia 21,Dia 23,Dia 25,Dia 27,Dia 29
Marcelo Cunha,Supervisor Técnico,100105.0,Diurno,07:30x16:30,A,Sala de emergência,"Classificação de risco, Sala de emergência, Sala de medicação, Sala de sutura e CME, Repouso/observação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Nelson Batista,Responsável Técnico,100103.0,Noturno,19x07,B,Sala de emergência,Sala de sutura e CME,Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tatiane Dias,Enfermeiro,600003.0,Noturno,19x07,B,Sala de emergência,"Sala de emergência, Sala de medicação, Repouso/observação",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Marta Lopes,Auxiliar de enfermagem,600016.0,Noturno,19x07,B,Sala de emergência,"Sala de emergência, Sala de sutura e CME, Repouso/observação",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Henrique Nascimento,Técnico de enfermagem,589456.0,Noturno,19x07,B,Sala de emergência,"Repouso/observação, Classificação de risco, Sala de emergência",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sofia Ivanova,Técnico de enfermagem,800002.0,Noturno,19x07,B,Sala de emergência,"Sala de emergência, Sala de medicação",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Omar Nasri,Técnico de enfermagem,700017.0,Noturno,19x07,B,Sala de emergência,"Sala de emergência, Sala de sutura e CME",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gabriel Santos,Técnico de enfermagem,123456.0,Noturno,19x07,B,Sala de emergência,"Sala de sutura e CME, Sala de emergência, Repouso/observação",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Eduardo Matos,Técnico de enfermagem,700002.0,Noturno,19x07,B,Sala de emergência,"Sala de emergência, Sala de sutura e CME",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Zhang Wei,Técnico de enfermagem,800010.0,Noturno,19x07,B,Sala de emergência,Sala de emergência,Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sofia Lima,Técnico de enfermagem,577654.0,Noturno,19x07,B,Sala de emergência,"Sala de emergência, Sala de medicação, Classificação de risco",Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Noah Johansson,Técnico de enfermagem,800016.0,Noturno,19x07,B,Sala de emergência,Sala de emergência,Junho de 2025,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
