Nome,Função,COREN-SP,Turno,Horário,Plantão,Setor,Setores Preferidos,Mês,Dia 2,Dia 4,Dia 6,Dia 8,Dia 10,Dia 12,Dia 14,Dia 16,Dia 18,Dia 20,Dia 22,Dia 24,Dia 26,Dia 28,Dia 30
Marcelo Cunha,Supervisor Técnico,100105.0,Diurno,07:30x16:30,A,Sala de medicação,"Classificação de risco, Sala de emergência, Sala de medicação, Sala de sutura e CME, Repouso/observação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Diana Armando,Responsável Técnico,100100.0,Diurno,07x19,A,Sala de medicação,Sala de emergência,Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Mateus Vieira,Enfermeiro,567678.0,Diurno,07x19,A,Sala de medicação,"Classificação de risco, Repouso/observação, Sala de medicação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,FE,D,D
Isabella Conti,Auxiliar de enfermagem,800017.0,Diurno,07x19,A,Sala de medicação,"Repouso/observação, Sala de medicação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Marcio Pina,Técnico de enfermagem,700004.0,Diurno,07x19,A,Sala de medicação,"Sala de medicação, Repouso/observação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Nathalia Prado,Auxiliar de enfermagem,600024.0,Diurno,07x19,A,Sala de medicação,"Repouso/observação, Sala de medicação, Sala de sutura e CME",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Camila Pires,Auxiliar de enfermagem,585678.0,Diurno,07x19,A,Sala de medicação,"Sala de medicação, Repouso/observação, Sala de sutura e CME",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Tomás Oliveira,Técnico de enfermagem,800018.0,Diurno,07x19,A,Sala de medicação,"Sala de medicação, Sala de emergência",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Mateo González,Enfermeiro,800012.0,Diurno,07x19,A,Sala de medicação,"Sala de medicação, Repouso/observação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Mariana Oliveira,Auxiliar de enfermagem,112233.0,Diurno,07x19,A,Sala de medicação,"Sala de medicação, Sala de emergência, Repouso/observação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
