Nome,Função,COREN-SP,Turno,Horário,Plantão,Setor,Setores Preferidos,Mês,Dia 2,Dia 4,Dia 6,Dia 8,Dia 10,Dia 12,Dia 14,Dia 16,Dia 18,Dia 20,Dia 22,Dia 24,Dia 26,Dia 28,Dia 30
Marcelo Cunha,Supervisor Técnico,100105.0,Diurno,07:30x16:30,A,Sala de medicação,"Classificação de risco, Sala de emergência, Sala de medicação, Sala de sutura e CME, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Diana Batista,Responsável Técnico,100102.0,Diurno,07x19,B,Sala de medicação,Repouso/observação,Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Juliana Rocha,Enfermeiro,569789.0,Diurno,07x19,B,Sala de medicação,"Classificação de risco, Sala de medicação, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Thiago Silva,Técnico de enfermagem,582345.0,Diurno,07x19,B,Sala de medicação,"Sala de medicação, Sala de emergência, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Leila Hussein,Auxiliar de enfermagem,800014.0,Diurno,07x19,B,Sala de medicação,Sala de medicação,Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Pedro Leal,Técnico de enfermagem,587234.0,Diurno,07x19,B,Sala de medicação,"Repouso/observação, Sala de sutura e CME, Sala de medicação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Vitor Hugo,Auxiliar de enfermagem,600008.0,Diurno,07x19,B,Sala de medicação,"Sala de medicação, Sala de emergência, Sala de sutura e CME",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Chen Wei,Auxiliar de enfermagem,700007.0,Diurno,07x19,B,Sala de medicação,"Sala de medicação, Sala de emergência",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Tatiane Silva,Técnico de enfermagem,700003.0,Diurno,07x19,B,Sala de medicação,"Sala de medicação, Sala de sutura e CME",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Julia Martins,Auxiliar de enfermagem,778822.0,Diurno,07x19,B,Sala de medicação,"Sala de medicação, Sala de emergência, Sala de sutura e CME",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Caio Fernandes,Auxiliar de enfermagem,600001.0,Diurno,07x19,B,Sala de medicação,"Sala de medicação, Repouso/observação, Sala de emergência",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Amanda Melo,Enfermeiro,600009.0,Diurno,07x19,B,Sala de medicação,"Sala de medicação, Classificação de risco, Repouso/observação",Julho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
