Nome,Função,COREN-SP,Turno,Horário,Plantão,Setor,Setores Preferidos,Mês,Dia 1,Dia 3,Dia 5,Dia 7,Dia 9,Dia 11,Dia 13,Dia 15,Dia 17,Dia 19,Dia 21,Dia 23,Dia 25,Dia 27,Dia 29
Marcelo Cunha,Supervisor Técnico,100105.0,Diurno,07:30x16:30,A,Sala de medicação,"Classificação de risco, Sala de emergência, Sala de medicação, Sala de sutura e CME, Repouso/observação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Diana Batista,Responsável Técnico,100102.0,Diurno,07x19,B,Sala de medicação,Repouso/observação,Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Amanda Melo,Enfermeiro,600009.0,Diurno,07x19,B,Sala de medicação,"Sala de medicação, Classificação de risco, Repouso/observação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Lina Müller,Auxiliar de enfermagem,800011.0,Diurno,07x19,B,Sala de medicação,"Repouso/observação, Sala de medicação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Rodrigo Barros,Técnico de enfermagem,600019.0,Diurno,07x19,B,Sala de medicação,"Sala de emergência, Classificação de risco, Sala de medicação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Caio Fernandes,Auxiliar de enfermagem,600001.0,Diurno,07x19,B,Sala de medicação,"Sala de medicação, Repouso/observação, Sala de emergência",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Julia Martins,Auxiliar de enfermagem,778822.0,Diurno,07x19,B,Sala de medicação,"Sala de medicação, Sala de emergência, Sala de sutura e CME",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Carlos Lima,Técnico de enfermagem,654321.0,Diurno,07x19,B,Sala de medicação,"Sala de emergência, Classificação de risco, Sala de medicação",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Chen Wei,Auxiliar de enfermagem,700007.0,Diurno,07x19,B,Sala de medicação,"Sala de medicação, Sala de emergência",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Tatiane Silva,Técnico de enfermagem,700003.0,Diurno,07x19,B,Sala de medicação,"Sala de medicação, Sala de sutura e CME",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Vitor Hugo,Auxiliar de enfermagem,600008.0,Diurno,07x19,B,Sala de medicação,"Sala de medicação, Sala de emergência, Sala de sutura e CME",Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Leila Hussein,Auxiliar de enfermagem,800014.0,Diurno,07x19,B,Sala de medicação,Sala de medicação,Junho de 2025,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
